Secretaria;Municipio;Descricao;Mat. Total;Mat. Semipresencial;Mat. Presencial;Quantidade de Turmas;Enturmados;Não Enturmados;Status
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;;TOTAL SECRETARIA;14120;164;13956;609;13948;8;Atenção (Não Enturmados)
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564326 - ALDENORA CARDOSO PORTO,EEI;313;0;313;17;313;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564326 - ALDENORA CARDOSO PORTO,EEI - Creche (0 a 3 anos)| Educação Infantil | Regular | Integral (40h);45;0;45;3;45;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564326 - ALDENORA CARDOSO PORTO,EEI - Creche (0 a 3 anos)| Educação Infantil | Regular | Manhã;56;0;56;3;56;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564326 - ALDENORA CARDOSO PORTO,EEI - Creche (0 a 3 anos)| Educação Infantil | Regular | Tarde;51;0;51;3;51;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564326 - ALDENORA CARDOSO PORTO,EEI - Pré-escola (4 e 5 anos)| Educação Infantil | Regular | Manhã;82;0;82;4;82;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23564326 - ALDENORA CARDOSO PORTO,EEI - Pré-escola (4 e 5 anos)| Educação Infantil | Regular | Tarde;79;0;79;4;79;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061197 - ALOISIO BERNARDO DE CASTRO EMEF;378;0;378;14;378;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061197 - ALOISIO BERNARDO DE CASTRO EMEF - 1º Ano| Ensino Fundamental | Regular | Manhã;22;0;22;1;22;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061197 - ALOISIO BERNARDO DE CASTRO EMEF - 1º Ano| Ensino Fundamental | Regular | Tarde;22;0;22;1;22;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061197 - ALOISIO BERNARDO DE CASTRO EMEF - 2º Ano| Ensino Fundamental | Regular | Integral (40h);26;0;26;1;26;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061197 - ALOISIO BERNARDO DE CASTRO EMEF - 3º Ano| Ensino Fundamental | Regular | Tarde;25;0;25;1;25;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061197 - ALOISIO BERNARDO DE CASTRO EMEF - 4º Ano| Ensino Fundamental | Regular | Manhã;23;0;23;1;23;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061197 - ALOISIO BERNARDO DE CASTRO EMEF - 4º Ano| Ensino Fundamental | Regular | Tarde;20;0;20;1;20;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061197 - ALOISIO BERNARDO DE CASTRO EMEF - 5º Ano| Ensino Fundamental | Regular | Integral (40h);35;0;35;1;35;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061197 - ALOISIO BERNARDO DE CASTRO EMEF - 6º Ano| Ensino Fundamental | Regular | Manhã;31;0;31;1;31;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061197 - ALOISIO BERNARDO DE CASTRO EMEF - 6º Ano| Ensino Fundamental | Regular | Tarde;27;0;27;1;27;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061197 - ALOISIO BERNARDO DE CASTRO EMEF - 7º Ano| Ensino Fundamental | Regular | Integral (35h M/T);36;0;36;1;36;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061197 - ALOISIO BERNARDO DE CASTRO EMEF - 8º Ano| Ensino Fundamental | Regular | Integral (35h M/T);48;0;48;2;48;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061197 - ALOISIO BERNARDO DE CASTRO EMEF - 9º Ano| Ensino Fundamental | Regular | Integral (35h M/T);63;0;63;2;63;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061723 - ANTO DE BRITO LIMA EMEF;107;0;107;5;107;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061723 - ANTO DE BRITO LIMA EMEF - 1º Ano| Ensino Fundamental | Regular | Integral (35h M/T);17;0;17;1;17;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061723 - ANTO DE BRITO LIMA EMEF - 2º Ano| Ensino Fundamental | Regular | Integral (35h M/T);23;0;23;1;23;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061723 - ANTO DE BRITO LIMA EMEF - 3º Ano| Ensino Fundamental | Regular | Integral (35h M/T);21;0;21;1;21;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061723 - ANTO DE BRITO LIMA EMEF - 4º Ano| Ensino Fundamental | Regular | Integral (35h M/T);23;0;23;1;23;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23061723 - ANTO DE BRITO LIMA EMEF - 5º Ano| Ensino Fundamental | Regular | Integral (35h M/T);23;0;23;1;23;0;OK
SECRETARIA MUNICIPAL DE AQUIRAZ-CE;AQUIRAZ;23060956 - BATOQUE EMEF;161;0;161;4;161;0;OK
